"fromYear","county","svi_bin","svi_bin1","svi_bin2","svi_bin3","svi_bin4"
2000,"01001","2","2","3","2","1"
2000,"01003","2","1","2","2","2"
2000,"01005","3","3","3","3","3"
2000,"01007","3","3","2","2","3"
2000,"01009","2","2","1","2","1"
2000,"01011","3","3","3","3","3"
2000,"01013","3","3","3","2","3"
2000,"01015","3","3","2","2","2"
2000,"01017","3","3","3","2","2"
2000,"01019","2","2","2","1","2"
2000,"01021","2","3","2","2","1"
2000,"01023","3","3","3","2","2"
2000,"01025","3","3","3","2","3"
2000,"01027","3","3","3","2","2"
2000,"01029","2","3","1","2","1"
2000,"01031","2","2","3","2","2"
2000,"01033","2","2","2","2","1"
2000,"01035","3","3","3","2","2"
2000,"01037","3","3","3","2","3"
2000,"01039","3","3","3","1","2"
2000,"01041","3","3","3","2","3"
2000,"01043","2","2","1","2","2"
2000,"01045","3","3","3","3","3"
2000,"01047","3","3","3","2","3"
2000,"01049","2","3","2","3","2"
2000,"01051","2","2","2","2","2"
2000,"01053","3","3","3","2","3"
2000,"01055","3","2","3","2","2"
2000,"01057","3","3","2","1","3"
2000,"01059","3","3","3","3","2"
2000,"01061","3","3","3","2","1"
2000,"01063","3","3","3","2","3"
2000,"01065","3","3","3","2","3"
2000,"01067","3","3","3","3","2"
2000,"01069","2","2","3","2","2"
2000,"01071","2","3","2","1","2"
2000,"01073","3","2","3","3","3"
2000,"01075","2","3","3","1","1"
2000,"01077","2","2","2","2","1"
2000,"01079","2","3","2","2","1"
2000,"01081","2","2","1","2","3"
2000,"01083","2","2","2","2","3"
2000,"01085","3","3","3","2","3"
2000,"01087","3","3","3","3","3"
2000,"01089","2","1","1","3","2"
2000,"01091","3","3","3","3","3"
2000,"01093","3","3","2","1","3"
2000,"01095","2","3","2","2","2"
2000,"01097","3","3","3","3","3"
2000,"01099","3","3","3","2","3"
2000,"01101","3","2","3","3","3"
2000,"01103","2","2","2","3","2"
2000,"01105","3","3","3","2","3"
2000,"01107","3","3","3","2","3"
2000,"01109","3","3","3","3","3"
2000,"01111","3","3","3","2","2"
2000,"01113","3","3","3","3","3"
2000,"01115","2","2","1","1","2"
2000,"01117","1","1","1","2","1"
2000,"01119","3","3","3","2","3"
2000,"01121","3","3","3","2","3"
2000,"01123","3","3","3","2","2"
2000,"01125","3","2","1","3","3"
2000,"01127","2","3","2","1","2"
2000,"01129","3","3","3","2","2"
2000,"01131","3","3","3","3","3"
2000,"01133","2","3","2","1","2"
2000,"02013","3","3","1","3","3"
2000,"02016","3","2","1","3","3"
2000,"02020","2","1","2","3","3"
2000,"02050","3","3","3","3","3"
2000,"02060","2","1","3","2","2"
2000,"02068","1","1","1","1","3"
2000,"02070","3","3","3","3","2"
2000,"02090","2","1","1","3","3"
2000,"02100","1","1","1","1","2"
2000,"02110","2","1","1","3","3"
2000,"02122","2","1","2","2","3"
2000,"02130","2","1","2","3","3"
2000,"02150","2","1","2","3","3"
2000,"02164","3","3","3","3","1"
2000,"02170","2","2","2","2","1"
2000,"02180","3","3","3","3","3"
2000,"02185","3","2","2","3","3"
2000,"02188","3","3","2","3","3"
2000,"02201","2","2","2","2","3"
2000,"02220","2","1","1","3","3"
2000,"02232","2","2","1","2","2"
2000,"02240","3","3","2","3","3"
2000,"02261","2","1","1","3","3"
2000,"02270","3","3","3","3","1"
2000,"02280","2","1","2","2","3"
2000,"02282","3","2","1","3","3"
2000,"02290","3","3","2","3","2"
2000,"04001","3","3","3","3","3"
2000,"04003","3","2","3","3","3"
2000,"04005","3","2","2","3","3"
2000,"04007","3","3","3","3","3"
2000,"04009","3","3","3","3","3"
2000,"04011","2","2","3","3","2"
2000,"04012","3","3","3","3","2"
2000,"04013","2","1","2","3","3"
2000,"04015","3","2","3","3","3"
2000,"04017","3","3","3","3","3"
2000,"04019","3","2","2","3","3"
2000,"04021","3","3","3","3","3"
2000,"04023","3","3","3","3","2"
2000,"04025","2","1","2","3","3"
2000,"04027","3","3","3","3","3"
2000,"05001","3","3","3","2","2"
2000,"05003","3","3","3","3","2"
2000,"05005","1","2","2","1","2"
2000,"05007","2","1","2","3","2"
2000,"05009","2","2","2","1","2"
2000,"05011","3","3","3","3","3"
2000,"05013","3","3","3","2","2"
2000,"05015","2","3","2","3","2"
2000,"05017","3","3","3","3","3"
2000,"05019","3","3","2","3","3"
2000,"05021","2","3","2","1","1"
2000,"05023","1","2","2","1","2"
2000,"05025","2","3","2","2","1"
2000,"05027","3","3","3","2","3"
2000,"05029","3","3","3","2","2"
2000,"05031","2","2","2","2","2"
2000,"05033","3","3","3","2","2"
2000,"05035","3","3","3","3","3"
2000,"05037","3","3","3","2","3"
2000,"05039","3","3","3","3","3"
2000,"05041","3","3","3","3","3"
2000,"05043","3","3","3","3","3"
2000,"05045","2","2","1","2","3"
2000,"05047","3","3","3","2","2"
2000,"05049","2","3","2","1","1"
2000,"05051","2","2","3","2","3"
2000,"05053","1","2","1","1","1"
2000,"05055","2","2","3","1","2"
2000,"05057","3","3","3","3","3"
2000,"05059","2","2","3","2","2"
2000,"05061","3","3","3","3","3"
2000,"05063","2","2","2","2","2"
2000,"05065","2","2","2","1","3"
2000,"05067","3","3","3","2","3"
2000,"05069","3","3","3","3","3"
2000,"05071","3","3","3","3","3"
2000,"05073","3","3","3","3","3"
2000,"05075","2","3","3","1","2"
2000,"05077","3","3","3","2","3"
2000,"05079","3","3","2","2","3"
2000,"05081","3","3","3","2","2"
2000,"05083","3","3","3","1","2"
2000,"05085","2","2","3","2","1"
2000,"05087","2","3","3","2","2"
2000,"05089","2","2","2","1","1"
2000,"05091","3","3","3","2","3"
2000,"05093","3","3","3","3","3"
2000,"05095","3","3","3","2","3"
2000,"05097","2","3","2","2","2"
2000,"05099","3","3","3","3","3"
2000,"05101","2","3","2","1","2"
2000,"05103","3","3","3","2","2"
2000,"05105","2","2","3","1","2"
2000,"05107","3","3","3","3","3"
2000,"05109","3","3","3","2","2"
2000,"05111","3","3","3","2","2"
2000,"05113","3","3","3","2","2"
2000,"05115","2","3","2","2","2"
2000,"05117","2","2","3","1","2"
2000,"05119","2","1","2","3","3"
2000,"05121","2","3","3","2","1"
2000,"05123","3","3","3","2","3"
2000,"05125","1","1","2","1","2"
2000,"05127","3","3","3","2","2"
2000,"05129","2","3","3","1","2"
2000,"05131","3","2","3","3","3"
2000,"05133","3","3","3","3","2"
2000,"05135","2","3","2","1","1"
2000,"05137","2","3","2","1","2"
2000,"05139","3","3","3","2","3"
2000,"05141","2","3","2","1","2"
2000,"05143","3","2","1","3","3"
2000,"05145","3","3","1","1","3"
2000,"05147","3","3","3","2","3"
2000,"05149","3","3","3","3","3"
