"Year","replacecolumns","from","to"
1990,"label_cause","414","cvd_ihd"
1991,"label_cause","414","cvd_ihd"
1992,"label_cause","414","cvd_ihd"
1993,"label_cause","414","cvd_ihd"
1994,"label_cause","414","cvd_ihd"
1995,"label_cause","414","cvd_ihd"
1996,"label_cause","414","cvd_ihd"
1997,"label_cause","414","cvd_ihd"
1998,"label_cause","414","cvd_ihd"
1990,"label_cause","434","cvd_stroke"
1991,"label_cause","434","cvd_stroke"
1992,"label_cause","434","cvd_stroke"
1993,"label_cause","434","cvd_stroke"
1994,"label_cause","434","cvd_stroke"
1995,"label_cause","434","cvd_stroke"
1996,"label_cause","434","cvd_stroke"
1997,"label_cause","434","cvd_stroke"
1998,"label_cause","434","cvd_stroke"
1990,"label_cause","432","cvd_stroke"
1991,"label_cause","432","cvd_stroke"
1992,"label_cause","432","cvd_stroke"
1993,"label_cause","432","cvd_stroke"
1994,"label_cause","432","cvd_stroke"
1995,"label_cause","432","cvd_stroke"
1996,"label_cause","432","cvd_stroke"
1997,"label_cause","432","cvd_stroke"
1998,"label_cause","432","cvd_stroke"
1990,"label_cause","430","cvd_stroke"
1991,"label_cause","430","cvd_stroke"
1992,"label_cause","430","cvd_stroke"
1993,"label_cause","430","cvd_stroke"
1994,"label_cause","430","cvd_stroke"
1995,"label_cause","430","cvd_stroke"
1996,"label_cause","430","cvd_stroke"
1997,"label_cause","430","cvd_stroke"
1998,"label_cause","430","cvd_stroke"
1990,"label_cause","161","neo_lung"
1991,"label_cause","161","neo_lung"
1992,"label_cause","161","neo_lung"
1993,"label_cause","161","neo_lung"
1994,"label_cause","161","neo_lung"
1995,"label_cause","161","neo_lung"
1996,"label_cause","161","neo_lung"
1997,"label_cause","161","neo_lung"
1998,"label_cause","161","neo_lung"
1990,"label_cause","162","neo_lung"
1991,"label_cause","162","neo_lung"
1992,"label_cause","162","neo_lung"
1993,"label_cause","162","neo_lung"
1994,"label_cause","162","neo_lung"
1995,"label_cause","162","neo_lung"
1996,"label_cause","162","neo_lung"
1997,"label_cause","162","neo_lung"
1998,"label_cause","162","neo_lung"
1990,"label_cause","490","resp_copd"
1991,"label_cause","490","resp_copd"
1992,"label_cause","490","resp_copd"
1993,"label_cause","490","resp_copd"
1994,"label_cause","490","resp_copd"
1995,"label_cause","490","resp_copd"
1996,"label_cause","490","resp_copd"
1997,"label_cause","490","resp_copd"
1998,"label_cause","490","resp_copd"
1990,"label_cause","491","resp_copd"
1991,"label_cause","491","resp_copd"
1992,"label_cause","491","resp_copd"
1993,"label_cause","491","resp_copd"
1994,"label_cause","491","resp_copd"
1995,"label_cause","491","resp_copd"
1996,"label_cause","491","resp_copd"
1997,"label_cause","491","resp_copd"
1998,"label_cause","491","resp_copd"
1990,"label_cause","492","resp_copd"
1991,"label_cause","492","resp_copd"
1992,"label_cause","492","resp_copd"
1993,"label_cause","492","resp_copd"
1994,"label_cause","492","resp_copd"
1995,"label_cause","492","resp_copd"
1996,"label_cause","492","resp_copd"
1997,"label_cause","492","resp_copd"
1998,"label_cause","492","resp_copd"
1990,"label_cause","493","resp_copd"
1991,"label_cause","493","resp_copd"
1992,"label_cause","493","resp_copd"
1993,"label_cause","493","resp_copd"
1994,"label_cause","493","resp_copd"
1995,"label_cause","493","resp_copd"
1996,"label_cause","493","resp_copd"
1997,"label_cause","493","resp_copd"
1998,"label_cause","493","resp_copd"
1990,"label_cause","494","resp_copd"
1991,"label_cause","494","resp_copd"
1992,"label_cause","494","resp_copd"
1993,"label_cause","494","resp_copd"
1994,"label_cause","494","resp_copd"
1995,"label_cause","494","resp_copd"
1996,"label_cause","494","resp_copd"
1997,"label_cause","494","resp_copd"
1998,"label_cause","494","resp_copd"
1990,"label_cause","495","resp_copd"
1991,"label_cause","495","resp_copd"
