"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Ethnicity"	"Ethnicity Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	727926
	"< 1 year"	"0"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2279634
	"< 1 year"	"0"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	801760
	"< 1 year"	"0"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2317389
	"< 1 year"	"0"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	821209
	"< 1 year"	"0"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2254013
	"< 1 year"	"0"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	840391
	"< 1 year"	"0"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2252355
	"< 1 year"	"0"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	858743
	"< 1 year"	"0"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2252891
	"< 1 year"	"0"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	873922
	"< 1 year"	"0"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2203849
	"< 1 year"	"0"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	902861
	"< 1 year"	"0"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2191820
	"< 1 year"	"0"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	942061
	"< 1 year"	"0"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2210644
	"< 1 year"	"0"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	939241
	"< 1 year"	"0"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2183638
	"< 1 year"	"0"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	906000
	"< 1 year"	"0"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2108041
