"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Ethnicity"	"Ethnicity Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	355238
	"< 1 year"	"0"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	372688
	"< 1 year"	"0"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1110208
	"< 1 year"	"0"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1169426
	"< 1 year"	"0"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	393022
	"< 1 year"	"0"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	408738
	"< 1 year"	"0"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1130915
	"< 1 year"	"0"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1186474
	"< 1 year"	"0"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	403197
	"< 1 year"	"0"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	418012
	"< 1 year"	"0"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1098967
	"< 1 year"	"0"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1155046
	"< 1 year"	"0"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	412388
	"< 1 year"	"0"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	428003
	"< 1 year"	"0"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1097359
	"< 1 year"	"0"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1154996
	"< 1 year"	"0"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	421676
	"< 1 year"	"0"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	437067
	"< 1 year"	"0"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1097641
	"< 1 year"	"0"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1155250
	"< 1 year"	"0"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	428260
	"< 1 year"	"0"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	445662
	"< 1 year"	"0"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1073760
	"< 1 year"	"0"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1130089
	"< 1 year"	"0"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	443490
	"< 1 year"	"0"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	459371
	"< 1 year"	"0"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1067466
	"< 1 year"	"0"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1124354
	"< 1 year"	"0"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	462015
	"< 1 year"	"0"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	480046
	"< 1 year"	"0"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1077101
	"< 1 year"	"0"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1133543
	"< 1 year"	"0"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	461101
	"< 1 year"	"0"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	478140
	"< 1 year"	"0"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1065232
	"< 1 year"	"0"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1118406
	"< 1 year"	"0"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	445294
	"< 1 year"	"0"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	460706
	"< 1 year"	"0"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1027561
	"< 1 year"	"0"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1080480
	"< 1 year"	"0"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	440096
	"< 1 year"	"0"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	456540
	"< 1 year"	"0"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1016232
	"< 1 year"	"0"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1066693
	"< 1 year"	"0"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	448242
	"< 1 year"	"0"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	466488
	"< 1 year"	"0"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1013025
	"< 1 year"	"0"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1068072
	"< 1 year"	"0"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	434815
	"< 1 year"	"0"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	451279
	"< 1 year"	"0"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1007097
	"< 1 year"	"0"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1059109
	"< 1 year"	"0"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	432709
	"< 1 year"	"0"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	449000
	"< 1 year"	"0"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1004934
	"< 1 year"	"0"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1056397
	"< 1 year"	"0"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	434015
	"< 1 year"	"0"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	452927
	"< 1 year"	"0"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1008575
	"< 1 year"	"0"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1063832
