"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"1990"	"1990"	3986488
	"< 1 year"	"0"	"1991"	"1991"	4003780
	"< 1 year"	"0"	"1992"	"1992"	3972775
	"< 1 year"	"0"	"1993"	"1993"	3894191
	"< 1 year"	"0"	"1994"	"1994"	3837113
	"< 1 year"	"0"	"1995"	"1995"	3791386
	"< 1 year"	"0"	"1996"	"1996"	3744999
	"< 1 year"	"0"	"1997"	"1997"	3751141
	"< 1 year"	"0"	"1998"	"1998"	3762809
	"< 1 year"	"0"	"1999"	"1999"	3795762
	"< 1 year"	"0"	"2000"	"2000"	3855956
	"1 year"	"1"	"1990"	"1990"	3800632
	"1 year"	"1"	"1991"	"1991"	3956187
	"1 year"	"1"	"1992"	"1992"	3977686
	"1 year"	"1"	"1993"	"1993"	3955186
	"1 year"	"1"	"1994"	"1994"	3882988
	"1 year"	"1"	"1995"	"1995"	3834008
	"1 year"	"1"	"1996"	"1996"	3794741
	"1 year"	"1"	"1997"	"1997"	3754617
	"1 year"	"1"	"1998"	"1998"	3768436
	"1 year"	"1"	"1999"	"1999"	3785088
	"1 year"	"1"	"2000"	"2000"	3798691
	"2 years"	"2"	"1990"	"1990"	3711376
	"2 years"	"2"	"1991"	"1991"	3805832
	"2 years"	"2"	"1992"	"1992"	3963688
	"2 years"	"2"	"1993"	"1993"	3989174
	"2 years"	"2"	"1994"	"1994"	3966826
	"2 years"	"2"	"1995"	"1995"	3895345
	"2 years"	"2"	"1996"	"1996"	3845840
	"2 years"	"2"	"1997"	"1997"	3810061
	"2 years"	"2"	"1998"	"1998"	3770264
	"2 years"	"2"	"1999"	"1999"	3782635
	"2 years"	"2"	"2000"	"2000"	3800144
	"3 years"	"3"	"1990"	"1990"	3658876
	"3 years"	"3"	"1991"	"1991"	3721868
	"3 years"	"3"	"1992"	"1992"	3824569
	"3 years"	"3"	"1993"	"1993"	3991628
	"3 years"	"3"	"1994"	"1994"	4021040
	"3 years"	"3"	"1995"	"1995"	4004986
	"3 years"	"3"	"1996"	"1996"	3937003
	"3 years"	"3"	"1997"	"1997"	3894969
	"3 years"	"3"	"1998"	"1998"	3863033
	"3 years"	"3"	"1999"	"1999"	3824806
