"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"2000"	"2000"	3855956
	"< 1 year"	"0"	"2001"	"2001"	4012658
	"< 1 year"	"0"	"2002"	"2002"	3951461
	"< 1 year"	"0"	"2003"	"2003"	3975871
	"< 1 year"	"0"	"2004"	"2004"	4014258
	"< 1 year"	"0"	"2005"	"2005"	4004393
	"< 1 year"	"0"	"2006"	"2006"	4041738
	"< 1 year"	"0"	"2007"	"2007"	4147997
	"< 1 year"	"0"	"2008"	"2008"	4132735
	"< 1 year"	"0"	"2009"	"2009"	4003587
	"< 1 year"	"0"	"2010"	"2010"	3951400
	"< 1 year"	"0"	"2011"	"2011"	3963239
	"< 1 year"	"0"	"2012"	"2012"	3926677
	"< 1 year"	"0"	"2013"	"2013"	3931346
	"< 1 year"	"0"	"2014"	"2014"	3955374
	"< 1 year"	"0"	"2015"	"2015"	3975414
	"< 1 year"	"0"	"2016"	"2016"	3970145
	"1 year"	"1"	"2000"	"2000"	3798691
	"1 year"	"1"	"2001"	"2001"	3855407
	"1 year"	"1"	"2002"	"2002"	4004674
	"1 year"	"1"	"2003"	"2003"	3936139
	"1 year"	"1"	"2004"	"2004"	3953063
	"1 year"	"1"	"2005"	"2005"	3987032
	"1 year"	"1"	"2006"	"2006"	3972124
	"1 year"	"1"	"2007"	"2007"	4002215
	"1 year"	"1"	"2008"	"2008"	4100756
	"1 year"	"1"	"2009"	"2009"	4078797
	"1 year"	"1"	"2010"	"2010"	3957847
	"1 year"	"1"	"2011"	"2011"	3966617
	"1 year"	"1"	"2012"	"2012"	3978101
	"1 year"	"1"	"2013"	"2013"	3943114
	"1 year"	"1"	"2014"	"2014"	3950083
	"1 year"	"1"	"2015"	"2015"	3974980
	"1 year"	"1"	"2016"	"2016"	3995008
	"2 years"	"2"	"2000"	"2000"	3800144
	"2 years"	"2"	"2001"	"2001"	3800096
	"2 years"	"2"	"2002"	"2002"	3856114
	"2 years"	"2"	"2003"	"2003"	4002836
	"2 years"	"2"	"2004"	"2004"	3933735
