Year,Gender.Code,Ethnicity,svi_bin,rural_urban_class,Education,source,svi_bin1,svi_bin2,svi_bin3,svi_bin4,measure1,measure2,Region,value,min_age,max_age,agr_by
1990,All genders,"All, All Origins",Resilient SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,486770,25,150,nation
1990,All genders,"All, All Origins",Resilient SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,842.382520346997,25,150,nation
1990,All genders,"All, All Origins",Moderate SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,771740,25,150,nation
1990,All genders,"All, All Origins",Moderate SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,880.070455587624,25,150,nation
1990,All genders,"All, All Origins",Vulnerable SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,781218,25,150,nation
1990,All genders,"All, All Origins",Vulnerable SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,959.775747336154,25,150,nation
1990,All genders,"All, All Origins",All,Large metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,1097097,25,150,nation
1990,All genders,"All, All Origins",All,Large metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,885.7420061181,25,150,nation
1990,All genders,"All, All Origins",All,Small-medium metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,590184,25,150,nation
1990,All genders,"All, All Origins",All,Small-medium metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,885.845791935755,25,150,nation
1990,All genders,"All, All Origins",All,Non metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,352447,25,150,nation
1990,All genders,"All, All Origins",All,Non metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,911.78480349219,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,High SES,All,All,All,Deaths,absolute number,United States,887432,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,High SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,847.475321597768,25,150,nation
