Year,Gender.Code,Ethnicity,svi_bin,rural_urban_class,attr,Education,source,svi_bin1,svi_bin2,svi_bin3,svi_bin4,scenario,method,measure1,measure2,Region,mean,lower,upper,min_age,max_age,measure3,agr_by
2000,All genders,"All, All Origins",Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,0.0458958351120347,0.0447308112679796,0.0470608589560899,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,0.922617693409712,0.878383432825566,0.966851953993858,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,0.0428694418702034,0.0408280398763843,0.0442303765327494,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,0.127228284338322,0.121169794607925,0.13126727749192,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,GBD,Deaths,absolute number,United States,0.00527027893987147,0.00270210298455568,0.00941033210332103,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,GBD,Deaths,"age-adjusted rate per 100,000",United States,0.0564978267855764,0.0604598050927594,0.0462925068960409,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,burnett,Deaths,absolute number,United States,0.110741287575762,0.0840924399419308,0.136534093985491,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,burnett,Deaths,"age-adjusted rate per 100,000",United States,0.197922854317634,0.15131053970661,0.242388586765504,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,0.0421139681533628,0.0411596670702136,0.0430682692365119,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,0.944008428968817,0.898619377958546,0.989397479979088,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,0.0433855985205385,0.0413196176386083,0.0447629191084921,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,0.125617586443614,0.119635796612966,0.129605446330713,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,GBD,Deaths,absolute number,United States,0.00450778923497551,0.00205123887088859,0.0086041175807194,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,GBD,Deaths,"age-adjusted rate per 100,000",United States,0.0393695528875785,0.0384904971952329,0.0366369911403366,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,burnett,Deaths,absolute number,United States,0.11022189335735,0.0837158285938386,0.135865532638212,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,burnett,Deaths,"age-adjusted rate per 100,000",United States,0.192191711091117,0.146951084680724,0.235334999568861,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,0.0319160036419944,0.0316786959854606,0.0321533112985282,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,1.48785855236142,1.41480781391128,1.56090929081156,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,0.0500276182045611,0.0476453506710107,0.0516157965602616,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,0.144602037646974,0.137716226330451,0.149192578524656,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,GBD,Deaths,absolute number,United States,0.00460203804087575,0.00205482789664221,0.00944637500718295,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,GBD,Deaths,"age-adjusted rate per 100,000",United States,0.0452816492783816,0.0401772765313056,0.0516559422623392,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,burnett,Deaths,absolute number,United States,0.117411378677876,0.0892661007503391,0.144584207331228,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,burnett,Deaths,"age-adjusted rate per 100,000",United States,0.208436915009632,0.159458723649398,0.255087325152002,65,150,proportion of disparity to Black or African American attributable,nation
2000,All genders,"All, All Origins",All,Large metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,0.0434377841095084,0.0426480692102642,0.0442274990087525,65,150,proportion of disparity to Black or African American attributable,nation
