...1,...2,Year,Gender.Code,Ethnicity,svi_bin,rural_urban_class,attr,Education,source,svi_bin1,svi_bin2,svi_bin3,svi_bin4,scenario,method,measure1,measure2,Region,mean,lower,upper,min_age,max_age,measure3,agr_by
,,1992,All genders,"All, All Origins",Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,23269.8553848687,22632.3251003518,23907.3856693857,65,150,value,nation
,,1992,All genders,"All, All Origins",Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,44.6873641152986,43.4630527696739,45.9116754609232,65,150,value,nation
,,1992,All genders,"All, All Origins",Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,20082.203962284,19125.9085355086,20719.7342468009,65,150,value,nation
,,1992,All genders,"All, All Origins",Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,38.5658073871755,36.7293403687386,39.7901187328001,65,150,value,nation
,,1992,All genders,"All, All Origins",Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,45074.1777503854,43839.2687709228,46309.086729848,65,150,value,nation
,,1992,All genders,"All, All Origins",Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,48.4729038618299,47.1448790984921,49.8009286251678,65,150,value,nation
,,1992,All genders,"All, All Origins",Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,38899.6328530723,37047.2693838785,40134.5418325349,65,150,value,nation
,,1992,All genders,"All, All Origins",Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,41.8327800451409,39.8407429001343,43.1608048084787,65,150,value,nation
,,1992,All genders,"All, All Origins",Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,50287.6632171408,48909.9190194109,51665.4074148707,65,150,value,nation
,,1992,All genders,"All, All Origins",Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,54.7283040085032,53.2288984192292,56.2277095977773,65,150,value,nation
,,1992,All genders,"All, All Origins",Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,43398.9422284914,41332.3259318966,44776.6864262213,65,150,value,nation
,,1992,All genders,"All, All Origins",Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,47.2312760621329,44.9821676782219,48.730681651407,65,150,value,nation
,,1992,All genders,"All, All Origins",All,Large metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,67375.5150717046,65529.6105491922,69221.4195942171,65,150,value,nation
