Year,Gender.Code,Ethnicity,rural_urban_class,attr,Education,source,measure1,measure2,scenario,method,Region,mean,lower,upper,min_age,max_age,measure3,agr_by
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee,United States,28.9238570161492,27.4779871377161,30.3697268945822,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee_white,United States,1.90164990891623,1.8110951513487,1.96201974729443,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,United States,67.5731816056611,64.1998592,70.9465040113221,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee_white,United States,4.6044233524781,4.38516509759823,4.75059552239804,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,burnett,United States,20.9109242175909,16.0619893684362,25.4905287730576,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee,United States,156.520891402127,148.853306574185,164.18847623007,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee_white,United States,15.8211790318896,15.0677895541806,16.3234386836957,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee,United States,48.2323203693555,45.8221075320984,50.6425332066126,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee_white,United States,3.20163112868847,3.04917250351277,3.30327021213885,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee,United States,35.3842858114976,33.6096886723501,37.1588829506449,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee_white,United States,2.1224953295509,2.02142412338182,2.18987613366365,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,United States,83.0026232670463,78.8610949615168,87.1441515725757,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee_white,United States,5.72804407568248,5.45528007207859,5.90988674475173,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,burnett,United States,25.7501739931842,19.7965931036291,31.3612593155067,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee,United States,174.883991306007,166.392790050042,183.375192561971,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee_white,United States,20.3575663235311,19.388158403363,21.00383827031,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee,United States,59.0738398540089,56.1159842045172,62.0316955035005,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee_white,United States,3.71369741366166,3.53685467967768,3.83159256965092,65,150,proportion of disparity to Black or African American attributable,nation
1990,All genders,"All, All Origins",Non metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee,United States,-0.441207348467055,-0.365849635587923,-0.516565061346197,65,150,proportion of disparity to Black or African American attributable,nation
