rural_urban_class,scenario,svi_bin,svi_bin1,svi_bin2,svi_bin3,svi_bin4,Region,Gender.Code,Ethnicity,Education,Year,min_age,max_age,value,mean_lower,mean_upper,agr_by,pm_metric
Large metro,NAAQS,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,11.8793286174464,11.8781543139999,11.8805029208928,nation,mean
Large metro,NAAQS,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,11.8834210220966,11.8818315257962,11.8850105183969,nation,mean
Large metro,NAAQS,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,11.6571079273497,11.65423478039,11.6599810743095,nation,mean
Large metro,NAAQS,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,11.6574017678928,11.6540797059078,11.6607238298778,nation,mean
Large metro,NAAQS,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,11.9387556926662,11.9365316531612,11.9409797321712,nation,mean
Large metro,NAAQS,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,11.9492577538769,11.946545241809,11.9519702659448,nation,mean
Large metro,NAAQS,All,All,All,All,All,United States,All genders,Black American,666,1990,25,150,11.9760311200962,11.9752751609689,11.9767870792236,nation,mean
Large metro,NAAQS,All,All,All,All,All,United States,All genders,Black American,666,1990,65,150,11.984393321318,11.9835908914498,11.9851957511861,nation,mean
Large metro,NAAQS,All,All,All,All,All,United States,All genders,White,666,1990,25,150,11.8605058466936,11.8591586625684,11.8618530308188,nation,mean
Large metro,NAAQS,All,All,All,All,All,United States,All genders,White,666,1990,65,150,11.871054973705,11.8692765139844,11.8728334334256,nation,mean
Large metro,WHO,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,9.96347142091546,9.9629070076625,9.96403583416843,nation,mean
Large metro,WHO,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,9.96303999739779,9.96227675522071,9.96380323957487,nation,mean
Large metro,WHO,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,9.88022403379685,9.87830076028309,9.88214730731061,nation,mean
Large metro,WHO,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,9.88012917023097,9.87802246047641,9.88223587998552,nation,mean
Large metro,WHO,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,9.98594710532576,9.9851892512761,9.98670495937542,nation,mean
Large metro,WHO,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,9.98683795022511,9.98612133448191,9.98755456596831,nation,mean
Large metro,WHO,All,All,All,All,All,United States,All genders,Black American,666,1990,25,150,9.99572495359218,9.99550002488919,9.99594988229517,nation,mean
Large metro,WHO,All,All,All,All,All,United States,All genders,Black American,666,1990,65,150,9.99763342767934,9.99749779606843,9.99776905929025,nation,mean
Large metro,WHO,All,All,All,All,All,United States,All genders,White,666,1990,25,150,9.95713393372913,9.95647140245799,9.95779646500028,nation,mean
Large metro,WHO,All,All,All,All,All,United States,All genders,White,666,1990,65,150,9.95875914205901,9.95790163975535,9.95961664436267,nation,mean
Large metro,real,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,18.5858517803779,18.5804529947468,18.591250566009,nation,mean
Large metro,real,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,18.5415420363038,18.5351130198059,18.5479710528017,nation,mean
Large metro,real,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,17.3257392791158,17.3170716998208,17.3344068584107,nation,mean
Large metro,real,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,17.4489914456801,17.4381892745059,17.4597936168542,nation,mean
Large metro,real,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,20.5195933853446,20.5038873370754,20.5352994336137,nation,mean
Large metro,real,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,20.8676879064532,20.8438220074447,20.8915538054618,nation,mean
