"FIPS.code","rural_urban_class","fromYear"
1001,2,2000
1021,2,2000
1001,2,1990
1021,2,1990
1003,2,2000
1003,2,1990
1005,3,2000
1005,3,1990
1013,3,2000
1013,3,1990
1015,2,2000
1121,2,2000
1015,2,1990
1121,2,1990
1017,3,2000
1017,3,1990
1023,3,2000
1023,3,1990
1099,3,2000
1025,3,2000
1091,3,2000
1025,3,1990
1091,3,1990
1099,3,1990
1029,3,2000
1029,3,1990
1031,3,2000
1031,3,1990
1033,2,2000
1059,2,2000
1033,2,1990
1059,2,1990
1037,3,2000
1037,3,1990
1041,3,2000
1039,3,2000
1039,3,1990
1041,3,1990
1045,3,2000
1067,3,2000
1045,3,1990
1067,3,1990
1047,3,2000
1047,3,1990
1049,3,2000
1071,3,2000
1019,3,2000
1019,3,1990
1049,3,1990
1071,3,1990
1051,2,2000
1051,2,1990
1053,3,2000
1035,3,2000
1035,3,1990
1053,3,1990
1055,2,2000
1055,2,1990
1057,3,2000
1075,3,2000
1057,3,1990
1075,3,1990
1061,2,2000
1061,2,1990
1065,2,2000
1065,2,1990
1069,2,2000
1069,2,1990
1073,1,2000
1127,1,2000
1117,1,2000
1073,1,1990
1117,1,1990
1127,1,1990
1077,2,2000
1077,2,1990
1081,2,2000
1123,2,2000
1113,2,2000
1081,2,1990
1113,2,1990
1123,2,1990
1089,2,2000
1083,2,2000
1083,2,1990
1089,2,1990
1105,3,2000
1131,3,2000
1105,3,1990
1131,3,1990
1093,3,2000
1133,3,2000
1093,3,1990
1133,3,1990
1095,3,2000
1095,3,1990
1097,2,2000
1097,2,1990
1101,2,2000
1085,2,2000
1085,2,1990
1101,2,1990
1103,2,2000
1079,2,2000
1043,2,2000
1043,2,1990
1079,2,1990
1103,2,1990
1107,2,2000
1107,2,1990
1109,3,2000
1011,3,2000
1011,3,1990
1109,3,1990
1111,3,2000
1111,3,1990
1115,1,2000
1009,1,2000
1009,1,1990
1115,1,1990
1119,3,2000
1119,3,1990
1027,3,2000
1027,3,1990
1087,3,2000
1087,3,1990
1125,2,2000
1063,2,2000
1007,2,2000
1007,2,1990
1063,2,1990
1125,2,1990
1129,3,2000
1129,3,1990
2013,3,2000
2013,3,1990
2016,3,2000
2016,3,1990
2020,2,2000
2020,2,1990
2050,3,2000
2050,3,1990
2060,3,2000
2060,3,1990
2070,3,2000
2070,3,1990
2090,2,2000
2290,2,2000
2090,2,1990
2290,2,1990
2100,3,2000
2100,3,1990
2105,3,1990
2105,3,2000
2110,3,2000
2232,3,2000
2110,3,1990
2231,3,1990
2164,3,2000
2164,3,1990
2201,3,2000
2130,3,2000
2280,3,2000
2130,3,1990
2201,3,1990
2280,3,1990
2150,3,2000
2150,3,1990
2158,3,1990
2158,3,2000
2122,2,2000
2170,2,2000
2261,2,2000
2122,2,1990
2170,2,1990
2240,2,1990
2261,2,1990
2180,3,2000
2180,3,1990
2185,3,2000
2188,3,2000
2185,3,1990
2188,3,1990
2195,3,1990
2195,3,2000
