STATE_FIPS,CNTY_FIPS,STCOFIPS,STATE_NAME,STATE_ABBR,COUNTY,G1V1R,G1V2R,G1V3R,G1V4R,G2V1R,G2V2R,G2V3R,G2V4R,G3V1R,G3V2R,G4V1R,G4V2R,G4V3R,G4V4R,G4V5R,USG1V1P,USG1V2P,USG1V3P,USG1V4P,USG1TP,USG2V1P,USG2V2P,USG2V3P,USG2V4P,USG2TP,USG3V1P,USG3V2P,USG3TP,USG4V1P,USG4V2P,USG4V3P,USG4V4P,USG4V5P,USG4TP,USTP,USG1V1F,USG1V2F,USG1V3F,USG1V4F,USG1TF,USG2V1F,USG2V2F,USG2V3F,USG2V4F,USG2TF,USG3V1F,USG3V2F,USG3TF,USG4V1F,USG4V2F,USG4V3F,USG4V4F,USG4V5F,USG4TF,USTF,Totpop2000,Totalhu,G1V1N,G1V2N,G1V4N,G2V1N,G2V2N,G2V3N,G2V4N,G3V1N,G3V2N,G4V1N,G4V2N,G4V3N,G4V4N,G4V5N
01,001,01001,Alabama,AL,Autauga ,0.1092,0.031,18518.0,0.2128,0.1017,0.2861,0.2157,0.0952,0.204,0.0064,0.0129,0.2613,0.0266,0.052,0.006,0.3535,0.4528,0.2937,0.5251,0.3828,0.1165,0.8716,0.5786,0.7665,0.7385,0.6608,0.4652,0.5691,0.2914,0.8649,0.5191,0.2423,0.0426,0.2257,0.4426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43671,17662,4738,1006,5872,4442,12493,8581,1520,8911,259,227,4615,426,832,260
01,003,01003,Alabama,AL,Baldwin ,0.1015,0.0255,20826.0,0.1798,0.1544,0.2443,0.2207,0.0718,0.1389,0.0067,0.1238,0.1767,0.0241,0.0423,0.0164,0.298,0.2617,0.1481,0.3487,0.1818,0.6127,0.3665,0.6194,0.3595,0.4751,0.564,0.4837,0.5254,0.9366,0.6579,0.4633,0.1159,0.3716,0.5111,0.3675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,140415,74285,14018,2813,17258,21674,34308,28693,3974,19499,880,9197,13127,1333,2340,2298
01,005,01005,Alabama,AL,Barbour ,0.268,0.0271,13316.0,0.3535,0.1348,0.2543,0.2717,0.13,0.4907,0.0128,0.0095,0.2959,0.0502,0.1252,0.0946,0.9535,0.313,0.9201,0.9092,0.8468,0.3926,0.5191,0.9079,0.9464,0.913,0.9121,0.7019,0.8662,0.2047,0.9178,0.8149,0.9222,0.9382,0.9742,0.9589,1,0,1,1,3,0,0,1,1,2,1,0,1,0,1,0,1,1,3,9,29038,12461,7032,612,6679,3915,7385,6650,1356,14250,348,118,3687,523,1303,2748
01,007,01007,Alabama,AL,Bibb ,0.2061,0.0329,14105.0,0.3681,0.1159,0.2543,0.2573,0.0845,0.2381,0.0031,0.0198,0.3402,0.0317,0.0972,0.0595,0.8557,0.5203,0.8583,0.9321,0.8656,0.2098,0.52,0.8382,0.6108,0.6391,0.6987,0.1531,0.4047,0.4423,0.9595,0.6063,0.8117,0.8576,0.9541,0.8388,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,20826,8345,4091,530,4984,2414,5297,4750,624,4959,60,165,2839,235,721,1239
01,009,01009,Alabama,AL,Blount ,0.1174,0.0293,16325.0,0.2955,0.1266,0.2562,0.2487,0.0575,0.0762,0.0201,0.0075,0.2848,0.0337,0.0542,0.0115,0.4092,0.3891,0.5892,0.7735,0.5681,0.3054,0.5509,0.7961,0.1366,0.3321,0.4127,0.7929,0.6197,0.1585,0.9015,0.6375,0.2789,0.1847,0.3171,0.4878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,51024,21158,5930,1157,9960,6462,13070,11675,1102,3889,951,158,6026,650,1045,587
01,011,01011,Alabama,AL,Bullock ,0.3348,0.0355,10163.0,0.3952,0.1292,0.2568,0.2952,0.2056,0.7614,0.0244,0.0252,0.3283,0.0793,0.1761,0.1303,0.9863,0.6133,0.9918,0.9608,0.9464,0.3347,0.5605,0.9649,0.9964,0.9369,0.9831,0.8216,0.942,0.52,0.9484,0.9321,0.9821,0.9691,0.999,0.999,1,0,1,1,3,0,0,1,1,2,1,0,1,0,1,1,1,1,4,10,11714,4727,3405,322,2992,1513,3008,2795,821,8919,269,119,1552,316,702,1526
01,013,01013,Alabama,AL,Butler ,0.2462,0.0578,15715.0,0.3224,0.1643,0.2687,0.2926,0.1305,0.4196,0.0043,0.015,0.2653,0.0377,0.1206,0.0125,0.9328,0.941,0.6765,0.8449,0.9171,0.7022,0.7245,0.9605,0.948,0.9961,0.8662,0.2843,0.5815,0.3417,0.8719,0.691,0.9108,0.2197,0.755,0.9334,1,1,0,0,2,0,0,1,1,2,0,0,0,0,0,0,1,0,1,5,21399,9957,5205,952,4439,3516,5750,5775,1094,8978,86,149,2642,317,1013,267
01,015,01015,Alabama,AL,Calhoun ,0.1611,0.038,17367.0,0.261,0.141,0.2357,0.248,0.0878,0.2189,0.0056,0.0387,0.1749,0.0188,0.0787,0.0216,0.691,0.6939,0.4325,0.67,0.6777,0.4636,0.2353,0.792,0.6624,0.6235,0.6773,0.3993,0.5394,0.6707,0.6528,0.3229,0.6515,0.5235,0.6589,0.6926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112249,51322,17695,3374,19318,15825,26452,25861,3983,24570,588,1987,8978,850,3566,2426
01,017,01017,Alabama,AL,Chambers ,0.1704,0.0381,15147.0,0.3583,0.161,0.2466,0.2736,0.1119,0.3956,0.0033,0.0089,0.1873,0.0258,0.1017,0.0141,0.7312,0.6993,0.7488,0.9171,0.8474,0.6748,0.398,0.9146,0.8847,0.941,0.8506,0.1761,0.5143,0.1942,0.6894,0.5022,0.8378,0.284,0.4917,0.8006,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,36583,16256,6134,1094,8778,5889,9022,9207,1628,14471,114,145,3044,374,1477,517
01,019,01019,Alabama,AL,Cherokee ,0.1556,0.0212,15543.0,0.3648,0.1599,0.2208,0.2603,0.0598,0.0733,0.0039,0.0081,0.3338,0.0208,0.0597,0.0149,0.6636,0.1388,0.6991,0.9273,0.6585,0.6633,0.1066,0.8563,0.1707,0.3375,0.4003,0.227,0.2786,0.177,0.9544,0.3828,0.3668,0.3175,0.3366,0.4445,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,23988,14025,3672,410,6138,3835,5296,5774,581,1759,87,114,4682,202,580,358
